"","Variable","Alcohol","Cocaine","Marijuana","Methamphetamine","Opioids"
"1","AGE",2356.91507375103,744.767563776847,660.993503318495,1465.33731682799,2597.77153106447
"2","ALCFLG",0,170.943672831022,151.384450803006,304.46108755003,541.37240159261
"3","ARRESTS_D",3010.08874690079,613.1540834931,691.462612814249,2743.06643014426,1863.54468450354
"4","BENZFLG",175.011128727776,59.3859308363657,86.0641064499588,93.1835425659374,452.309817217886
"5","COKEFLG",337.239686717294,0,117.036360343623,169.713725797547,532.300324512504
"6","DIVISION",2510.3895196438,636.582877802981,474.270729484714,964.392000671616,2807.11758071685
"7","EDUC",1599.52557929313,533.31253122131,436.737733322545,1045.59848835505,1752.22331938504
"8","ETHNIC",723.112727673469,235.885243942877,275.202352980934,515.350381837431,840.046180757694
"9","FREQ1",1130.31517256767,380.820691005311,341.233394386863,703.583248324013,1321.12090000953
"10","FRSTUSE1",1917.26673545132,663.799982932531,461.354953182907,1395.12724864127,2299.98753012567
"11","GENDER",643.927193033846,207.661297677736,189.608291324854,420.761640968081,757.007276944269
"12","HERFLG",206.304835951415,108.822459420481,63.9734919257891,186.741803797711,451.310168816279
"13","HLTHINS",966.133503111642,244.399248415972,241.555812733784,562.509812759173,920.417188198238
"14","IDU",531.779593912076,233.924698131068,191.846049659453,331.67927540528,721.242833108096
"15","LIVARAG",1144.02814850156,394.446538488097,295.04952629807,654.429491960803,1179.42547687753
"16","MARSTAT",1154.41999473054,379.076749459646,228.581536569766,539.528356594774,1224.45491970351
"17","MEDEXP",865.959523911434,134.084729553457,117.772179900831,322.477680990658,352.524891142242
"18","METHUSE",546.126797483312,186.36188604698,74.7228674065752,132.692457868112,752.873978261414
"19","NOPRIOR",728.275857955482,227.396444466017,234.338525095118,484.906364419461,830.324174580512
"20","PRIMINC",1557.59588463525,474.477741852922,358.695593462108,556.35481303788,1454.19210229218
"21","PRIMPAY",1049.56826837007,265.71725486726,334.770156852188,874.920887824879,1010.2357875421
"22","PSYPROB",1153.29132855162,326.871981710357,289.154147268578,616.628877300748,1123.40158779084
"23","RACE",1198.18294213633,365.49002513188,404.58568049544,864.172925241922,1179.70307480673
"24","ROUTE1",100.711976345175,298.466356442281,85.2197220832324,585.78793361495,951.542039466062
"25","SUB2",1466.45962042162,528.248311457679,498.234043837545,1034.23609647028,2060.29880036984
